"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 26 15:52:40 CST 2022","Tue Jul 26 15:52:42 CST 2022","1943","test_case","test_qr_code","Test_QR_login","","","test_03_login[测试网址：http://www.tl6.cc/4103/6660000001]",""
"passed","Tue Jul 26 15:52:33 CST 2022","Tue Jul 26 15:52:34 CST 2022","1684","test_case","test_qr_code","Test_QR_login","","","test_03_login[测试网址：http://www.tl6.cc/3201/02292670]",""
"passed","Tue Jul 26 15:52:24 CST 2022","Tue Jul 26 15:52:26 CST 2022","1187","test_case","test_qr_code","Test_QR_login","","","test_02_login[测试网址：http://www.tl6.cc/4401/1011117957]",""
"passed","Tue Jul 26 15:52:34 CST 2022","Tue Jul 26 15:52:36 CST 2022","1996","test_case","test_qr_code","Test_QR_login","","","test_03_login[测试网址：http://www.tl6.cc/3401/0111701285]",""
"passed","Tue Jul 26 15:53:02 CST 2022","Tue Jul 26 15:53:04 CST 2022","2097","test_case","test_qr_code","Test_QR_login","","","test_03_login[测试网址：http://www.tl6.cc/2202/2080000496]",""
"passed","Tue Jul 26 15:52:51 CST 2022","Tue Jul 26 15:52:53 CST 2022","2028","test_case","test_qr_code","Test_QR_login","","","test_03_login[测试网址：http://www.tl6.cc/4690/6060002005]",""
"passed","Tue Jul 26 15:52:58 CST 2022","Tue Jul 26 15:53:00 CST 2022","1649","test_case","test_qr_code","Test_QR_login","","","test_03_login[测试网址：http://www.tl6.cc/5326/0252010880]",""
"passed","Tue Jul 26 15:52:22 CST 2022","Tue Jul 26 15:52:26 CST 2022","4704","test_case","test_qr_code","Test_QR_login","","","test_01_login[测试网址：http://www.tl6.cc/2102/6660101018]",""
"passed","Tue Jul 26 15:52:44 CST 2022","Tue Jul 26 15:52:46 CST 2022","1995","test_case","test_qr_code","Test_QR_login","","","test_03_login[测试网址：http://www.tl6.cc/4301/7011016243]",""
"passed","Tue Jul 26 15:53:07 CST 2022","Tue Jul 26 15:53:09 CST 2022","1886","test_case","test_qr_code","Test_QR_login","","","test_03_login[测试网址：http://www.tl6.cc/3301/1853800037]",""
"passed","Tue Jul 26 15:52:55 CST 2022","Tue Jul 26 15:52:57 CST 2022","2014","test_case","test_qr_code","Test_QR_login","","","test_03_login[测试网址：http://www.tl6.cc/1101/5013001316]",""
"passed","Tue Jul 26 15:52:29 CST 2022","Tue Jul 26 15:52:31 CST 2022","1272","test_case","test_qr_code","Test_QR_login","","","test_02_login[测试网址：http://www.tl6.cc/6301/1011101409]",""
"broken","Tue Jul 26 15:52:49 CST 2022","Tue Jul 26 15:52:55 CST 2022","6295","test_case","test_qr_code","Test_QR_login","","","test_02_login[测试网址：http://www.tl6.cc/2306/23060100016]",""
"passed","Tue Jul 26 15:53:00 CST 2022","Tue Jul 26 15:53:02 CST 2022","1651","test_case","test_qr_code","Test_QR_login","","","test_03_login[测试网址：http://www.tl6.cc/5426/0013028381]",""
